Threshold,accepted_Customers_train,Default Rate_train,Revenue_train,accepted_Customers_test1,Default Rate_test1,Revenue_test1,accepted_Customers,Default Rate,Revenue
0.1,0,0,0,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0
0.17,18877,0.002595751,4186.230218,4019,0.002736999,892.0092312,4071,0.002702039,902.6968832
0.18,27623,0.005575064,5838.554165,5892,0.005261371,1248.759637,5904,0.005420054,1248.583199
0.19,31222,0.008807892,6381.249093,6660,0.008258258,1367.340277,6632,0.007539204,1362.240062
0.2,33506,0.011848624,6694.661023,7145,0.011896431,1431.415274,7120,0.012780899,1426.040778
0.21,35279,0.014711301,6912.555746,7542,0.015645717,1480.210008,7474,0.016457051,1468.555986
0.22,36550,0.017400821,7053.260734,7809,0.018824433,1508.366487,7767,0.019698725,1500.403911
0.23,37703,0.020767578,7166.820377,8050,0.022111801,1533.635258,7999,0.024253032,1523.148536
0.24,38633,0.02399503,7253.131192,8264,0.025411423,1554.132811,8200,0.027682927,1542.252074
0.25,39447,0.0269729,7330.003566,8419,0.028506949,1568.14001,8367,0.029759771,1557.895557
0.26,40223,0.030330905,7396.944069,8589,0.031202701,1582.255079,8534,0.033630185,1570.817061
0.27,40986,0.034670375,7450.459885,8763,0.035261897,1594.461919,8695,0.037492812,1583.551194
0.28,41786,0.038912554,7508.013946,8913,0.038146528,1605.944864,8844,0.042853912,1593.46344
0.29,42615,0.043904728,7566.290526,9081,0.041515252,1619.428768,9004,0.047867614,1603.165422
0.3,43364,0.048335024,7615.364795,9248,0.046280277,1629.376517,9168,0.052792321,1614.395585
0.31,44161,0.053757841,7662.423631,9440,0.051483051,1642.312661,9356,0.059106456,1625.21058
0.32,44940,0.059345794,7706.330117,9590,0.057455683,1649.080718,9521,0.065014179,1633.980424
0.33,45699,0.065143657,7744.249573,9748,0.061961428,1658.491913,9681,0.070137383,1642.364237
0.34,46428,0.071142414,7779.450469,9925,0.06861461,1666.881005,9862,0.076860677,1650.732067
0.35,47219,0.077744128,7815.844091,10082,0.074290815,1674.404809,10039,0.084570176,1657.455255
0.36,48070,0.08458498,7850.6298,10251,0.081357916,1681.821677,10202,0.090668496,1664.430444
0.37,48895,0.091768074,7881.014664,10421,0.088859035,1687.371919,10378,0.097128541,1671.272357
0.38,49743,0.099652212,7907.747095,10600,0.096981132,1692.846759,10530,0.103608737,1676.393119
0.39,50516,0.10705519,7929.563258,10765,0.103390618,1697.875913,10720,0.111100746,1682.973456
0.4,51322,0.114843537,7949.365963,10936,0.11183248,1702.033563,10906,0.119292133,1687.886866
0.41,52228,0.123822471,7969.500188,11118,0.120075553,1706.628233,11090,0.128043282,1691.768549
0.42,53094,0.132067654,7988.391879,11299,0.127887424,1711.846429,11281,0.137310522,1695.666488
0.43,53960,0.141011861,8004.500536,11526,0.138209266,1716.344837,11507,0.14747545,1699.984222
0.44,54899,0.150749558,8021.47051,11740,0.14846678,1720.280932,11711,0.15737341,1703.458174
0.45,55826,0.160265826,8037.257259,11926,0.156884119,1724.190784,11934,0.167588403,1707.410071
0.46,56710,0.16975842,8049.122232,12115,0.166983079,1726.378229,12112,0.176188904,1710.384642
0.47,57599,0.179239223,8060.686221,12315,0.176613886,1729.073038,12316,0.186018188,1712.991727
0.48,58398,0.188105757,8069.006395,12511,0.18671569,1731.078534,12505,0.195281887,1714.897352
0.49,59197,0.197239725,8075.428306,12678,0.195456697,1732.537203,12691,0.205184777,1716.170571
0.5,60003,0.206423012,8081.178582,12840,0.203738318,1734.00025,12862,0.214196859,1717.261245
0.51,60787,0.215276293,8086.211189,12996,0.211988304,1734.979862,13015,0.222819823,1717.699607
0.52,61539,0.224069289,8088.833375,13160,0.221048632,1735.49841,13172,0.231172183,1718.446005
0.53,62191,0.231689473,8090.306363,13335,0.230296213,1736.062229,13312,0.23843149,1719.120029
0.54,63023,0.241451534,8091.637687,13501,0.239537812,1736.231233,13515,0.248982612,1719.60025
0.55,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.56,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.57,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.58,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.59,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.6,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.61,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.62,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.63,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.64,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.65,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.66,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.67,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.68,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.69,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.7,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.71,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.72,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.73,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.74,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.75,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.76,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.77,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.78,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.79,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.8,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.81,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.82,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.83,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.84,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.85,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.86,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.87,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.88,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.89,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.9,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.91,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.92,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.93,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.94,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.95,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.96,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.97,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.98,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
0.99,64248,0.255758934,8092.174786,13767,0.253795308,1736.47888,13768,0.262710633,1719.640882
